Number of residues used for FULL,26

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
B0702,655,48,54,0
B0703,8,3,5,0
B0710,5,0,0,0
B0712,11,0,1,0
B0713,1,0,0,0
B0715,5,0,0,0
B0736,2,3,0,0
B0801,405,42,41,0
B0802,4,3,4,0
B13,272,16,21,0
B1501,507,16,33,0
B1502,93,2,8,0
B1503,77,5,11,0
B1510,109,5,13,0
B1511,25,1,3,0
B1516,21,3,1,0
B1517,42,2,5,0
B1520,9,1,5,0
B1523,1,5,4,0
B1524,6,4,5,0
B1529,5,0,2,0
B1537,4,1,0,0
B1538,5,0,2,0
B1540,5,1,0,0
B1542,3,0,0,0
B1547,4,0,1,0
B1548,5,0,2,0
B1552,3,2,1,0
B1801,363,34,13,0
B1805,3,0,0,0
B1806,2,0,0,0
B1809,2,10,2,0
B2705,319,76,27,0
B2708,7,1,3,0
B2712,6,0,0,0
B2714,4,1,1,0
B3501,732,37,39,0
B3502,86,3,7,0
B3510,8,0,1,0
B3512,68,4,8,0
B3515,5,1,0,0
B3516,1,0,1,0
B3519,5,0,1,0
B3520,11,1,0,0
B3521,6,1,0,0
B3528,5,1,0,0
B3531,3,1,6,0
B3701,141,12,15,0
B3702,1,5,5,0
B3704,3,4,0,0
B3705,3,0,4,0
B3801,111,66,11,0
B3803,2,1,0,0
B3806,2,2,0,0
B3901,264,19,23,0
B3902,21,1,1,0
B3910,22,1,3,0
B4001,393,19,39,0
B4002,359,27,19,0
B4004,16,3,0,0
B4005,7,17,3,0
B4008,3,0,2,0
B4013,1,0,0,0
B4016,13,1,0,0
B4021,2,0,0,0
B4023,8,0,0,0
B4047,2,3,1,0
B41,114,11,7,0
B42,45,4,6,0
B4402,802,39,34,0
B4404,5,0,5,0
B4406,6,0,2,0
B4408,4,0,0,0
B4410,10,4,0,0
B4429,3,0,0,0
B45,59,16,1,0
B46,122,14,17,0
B4701,27,12,1,0
B4801,69,12,6,0
B4802,4,5,1,0
B4804,6,0,1,0
B4805,5,1,2,0
B49,121,14,10,0
B50,97,8,8,0
B5101,597,28,19,0
B5102,26,2,12,0
B5103,2,0,0,0
B5107,6,0,0,0
B5119,3,0,0,0
B52,205,9,16,0
B53,103,17,9,0
B54,57,5,8,0
B5501,182,7,17,0
B5504,9,6,2,0
B5601,103,7,10,0
B5603,16,7,2,0
B57,275,23,9,0
B58,203,24,12,0
B59,7,2,6,0
B64,63,3,3,0
B65,134,9,10,0
B6701,7,2,0,0
B6702,2,0,0,0
B73,7,0,0,0
B76,12,1,2,0
B77,4,3,0,0
B7801,8,8,2,0
B81,25,6,1,0
B82,9,3,0,0
UNA,11,0,0,0

AssignedTotal,8877,827,698,0
CommonTotal,3823,46,0,0
IntermediateTotal,133,20,23,0
WellDocumentedTotal,464,87,90,0
RareTotal,4457,674,585,0

TOTAL EXPRESSED ALLELES,10402
Null alleles,392
Q alleles,74
TOTAL ALLELES,10868
