ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
B0702,358,45,48,0
B0703,6,2,4,0
B0710,4,0,0,0
B0712,8,0,1,0
B0713,1,0,0,0
B0715,5,0,0,0
B0736,2,3,0,0
B0801,229,38,39,0
B0802,4,3,4,0
B13,152,16,19,0
B1501,297,16,32,0
B1502,58,2,8,0
B1503,42,5,10,0
B1510,65,5,13,0
B1511,15,1,3,0
B1516,8,3,1,0
B1517,27,2,5,0
B1520,8,1,5,0
B1523,1,5,4,0
B1524,5,4,5,0
B1529,4,0,2,0
B1537,4,1,0,0
B1538,4,0,2,0
B1540,4,1,0,0
B1542,3,0,0,0
B1547,3,0,1,0
B1548,5,0,2,0
B1552,3,2,1,0
B1801,196,30,12,0
B1805,1,0,0,0
B1806,2,0,0,0
B1809,2,8,2,0
B2705,183,58,27,0
B2708,7,1,2,0
B2712,4,0,0,0
B2714,4,1,1,0
B3501,389,37,37,0
B3502,50,3,7,0
B3510,6,0,1,0
B3512,43,4,8,0
B3515,4,1,0,0
B3516,1,0,1,0
B3519,5,0,1,0
B3520,7,1,0,0
B3521,5,1,0,0
B3528,3,1,0,0
B3531,2,1,6,0
B3701,79,12,13,0
B3702,1,5,5,0
B3704,2,4,0,0
B3705,3,0,4,0
B3801,67,46,11,0
B3803,2,1,0,0
B3806,2,1,0,0
B3901,142,18,22,0
B3902,13,1,1,0
B3910,16,1,3,0
B4001,214,18,33,0
B4002,204,27,19,0
B4004,10,3,0,0
B4005,4,16,3,0
B4008,2,0,2,0
B4013,1,0,0,0
B4016,10,1,0,0
B4021,2,0,0,0
B4023,6,0,0,0
B4047,2,3,1,0
B41,73,11,7,0
B42,30,4,5,0
B4402,404,35,30,0
B4404,4,0,4,0
B4406,6,0,2,0
B4408,4,0,0,0
B4410,7,3,0,0
B4429,3,0,0,0
B45,31,15,1,0
B46,67,14,16,0
B4701,15,12,1,0
B4801,37,11,6,0
B4802,2,4,1,0
B4804,4,0,1,0
B4805,4,1,2,0
B49,67,14,10,0
B50,58,8,8,0
B5101,310,27,15,0
B5102,14,2,12,0
B5103,2,0,0,0
B5107,5,0,0,0
B5119,3,0,0,0
B52,100,9,12,0
B53,54,17,8,0
B54,37,5,8,0
B5501,97,7,17,0
B5504,9,5,2,0
B5601,59,7,10,0
B5603,10,7,2,0
B57,162,21,9,0
B58,120,22,12,0
B59,6,2,6,0
B64,34,3,3,0
B65,68,9,9,0
B6701,4,2,0,0
B6702,1,0,0,0
B73,6,0,0,0
B76,10,1,2,0
B77,2,2,0,0
B7801,5,7,2,0
B81,16,5,1,0
B82,4,3,0,0
UNA,10,0,0,0

AssignedTotal,4985,754,655,0
CommonTotal,191,7,0,0
IntermediateTotal,104,15,16,0
WellDocumentedTotal,386,79,71,0
RareTotal,4304,653,568,0

TOTAL EXPRESSED ALLELES,6394
Null alleles,392
Q alleles,74
TOTAL ALLELES,6860
