Number of residues used for FULL,22

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
Cw0304,332,32,42,0
Cw0307,1,4,2,0
Cw0308,2,1,2,0
Cw0401,387,41,25,0
Cw0403,26,11,7,0
Cw0408,3,1,0,0
Cw0410,3,0,2,0
Cw0427,1,0,0,0
Cw0501,215,34,13,0
Cw0509,5,0,0,0
Cw0602,305,18,28,0
Cw0608,1,0,0,0
Cw0627,1,0,0,0
Cw0701,416,36,32,0
Cw0702,430,55,23,0
Cw0704,61,14,14,0
Cw0707,1,0,3,0
Cw0717,6,7,4,0
Cw0801,108,11,5,0
Cw0802,115,19,15,0
Cw0803,11,5,0,0
Cw0806,1,0,0,0
Cw0810,7,6,1,0
Cw1,204,17,25,0
Cw1202,331,48,32,0
Cw1204,8,2,2,0
Cw1212,2,2,3,0
Cw14,125,26,6,0
Cw1502,210,34,22,0
Cw1507,2,4,0,0
Cw1601,147,35,17,0
Cw1602,50,9,5,0
Cw17,65,8,7,0
Cw18,24,4,0,0
Cw2,199,20,14,0
Cw9,196,12,25,0
UNA,10,0,0,0

AssignedTotal,4011,516,376,0
CommonTotal,74,5,0,0
IntermediateTotal,73,15,15,0
WellDocumentedTotal,284,69,63,0
RareTotal,3580,427,298,0

TOTAL EXPRESSED ALLELES,4903
Null alleles,416
Q alleles,137
TOTAL ALLELES,5456
