Number of residues used for FULL,7

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,342,0,77,0
DPB0201,350,0,84,0
DPB0202,46,0,15,0
DPB03,277,0,65,0
DPB0401,612,0,120,0
DPB0402,256,0,48,0
DPB06,83,0,26,0
DPB10,50,0,22,0
DPB13,124,0,29,0
DPB15,58,0,2,0
DPB17,48,0,0,0
DPB18,31,0,2,0
DPB30,30,0,0,0
DPB31,18,0,6,0
DPB45,14,0,8,0
DPB46,4,0,6,0
DPB80,7,0,9,0
UNA,19,0,0,0

AssignedTotal,2369,0,519,0
CommonTotal,1087,0,58,0
IntermediateTotal,54,0,11,0
WellDocumentedTotal,125,0,54,0
RareTotal,1103,0,396,0

TOTAL EXPRESSED ALLELES,2888
Null alleles,169
Q alleles,18
TOTAL ALLELES,3075
