ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,195,55,9,0
DPB0201,153,65,6,0
DPB0202,22,12,2,0
DPB03,142,53,2,0
DPB0401,289,0,6,0
DPB0402,145,40,8,0
DPB06,55,23,2,0
DPB10,37,17,2,0
DPB13,76,29,1,0
DPB15,34,99,0,0
DPB17,33,0,0,0
DPB18,21,0,0,0
DPB30,21,0,0,0
DPB31,14,0,0,0
DPB45,13,14,0,0
DPB46,3,5,0,0
DPB80,6,11,0,0
UNA,6,0,0,0

AssignedTotal,1265,423,38,0
CommonTotal,71,2,0,0
IntermediateTotal,42,9,2,0
WellDocumentedTotal,110,46,1,0
RareTotal,1042,366,35,0

TOTAL EXPRESSED ALLELES,1726
Null alleles,169
Q alleles,18
TOTAL ALLELES,1913
