Number of residues used for FULL,7

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,196,0,63,0
DPB0201,154,0,68,0
DPB0202,22,0,14,0
DPB03,142,0,53,0
DPB0401,297,0,96,0
DPB0402,145,0,44,0
DPB06,55,0,24,0
DPB10,37,0,18,0
DPB13,77,0,28,0
DPB15,35,0,0,0
DPB17,33,0,0,0
DPB18,21,0,2,0
DPB30,21,0,0,0
DPB31,14,0,6,0
DPB45,13,0,8,0
DPB46,3,0,5,0
DPB80,6,0,9,0
UNA,17,0,0,0

AssignedTotal,1288,0,438,0
CommonTotal,71,0,2,0
IntermediateTotal,43,0,9,0
WellDocumentedTotal,113,0,44,0
RareTotal,1061,0,383,0

TOTAL EXPRESSED ALLELES,1726
Null alleles,169
Q alleles,18
TOTAL ALLELES,1913
