Allele,COMMENT,Serotype,ImputedAntigen,Broad,CIWD3.0,CWD2.0,EURCWD,Bw46C12DR5X
DQB1*02:01:01:01,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:02,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:03,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:04,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:05,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:06,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:07,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:08,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:09,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:10,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:11,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:12,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:13,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:14,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:15,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:16Q,,Questionable
DQB1*02:01:01:17,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:18,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:19,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:20,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:21Q,,Questionable
DQB1*02:01:01:22,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:23,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:24,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:25,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:26,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:27,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:28,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:29,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:30,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:31,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:01:32Q,,Questionable
DQB1*02:01:02,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:03,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:04,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:05,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:06,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:07,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:08,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:09,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:11,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:12,FULL,DQ2,DQ2,DQ2,C,C,C,
DQB1*02:01:13,FULL,DQ2,DQ2,DQ2,C,C,C,
