Allele,REPORTABLE,Qualifier,PARENT,BROAD,CIWD3.0,CWD2.0,EURCWD,Bw4/Bw6,C1/C2
A*01:01:01:01,A1,F,A1,A1,C,C,C,,,
A*01:01:01:02N,NULL
A*01:01:01:03,A1,F,A1,A1,C,C,C,,,
A*01:01:01:04,A1,F,A1,A1,C,C,C,,,
A*01:01:01:05,A1,F,A1,A1,C,C,C,,,
A*01:01:01:06,A1,F,A1,A1,C,C,C,,,
A*01:01:01:07,A1,F,A1,A1,C,C,C,,,
A*01:01:01:08,A1,F,A1,A1,C,C,C,,,
A*01:01:01:09,A1,F,A1,A1,C,C,C,,,
A*01:01:01:10,A1,F,A1,A1,C,C,C,,,
A*01:01:01:11,A1,F,A1,A1,C,C,C,,,
A*01:01:01:12,A1,F,A1,A1,C,C,C,,,
A*01:01:01:13,A1,F,A1,A1,C,C,C,,,
A*01:01:01:14,A1,F,A1,A1,C,C,C,,,
A*01:01:01:15,A1,F,A1,A1,C,C,C,,,
A*01:01:01:16,A1,F,A1,A1,C,C,C,,,
A*01:01:01:17,A1,F,A1,A1,C,C,C,,,
A*01:01:01:18,A1,F,A1,A1,C,C,C,,,
A*01:01:01:19,A1,F,A1,A1,C,C,C,,,
A*01:01:01:20,A1,F,A1,A1,C,C,C,,,
A*01:01:01:21,A1,F,A1,A1,C,C,C,,,
A*01:01:01:22,A1,F,A1,A1,C,C,C,,,
A*01:01:01:23,A1,F,A1,A1,C,C,C,,,
A*01:01:01:24,A1,F,A1,A1,C,C,C,,,
A*01:01:01:25,A1,F,A1,A1,C,C,C,,,
A*01:01:01:26,A1,F,A1,A1,C,C,C,,,
A*01:01:01:27,A1,F,A1,A1,C,C,C,,,
A*01:01:01:28,A1,F,A1,A1,C,C,C,,,
A*01:01:01:29,A1,F,A1,A1,C,C,C,,,
A*01:01:01:30,A1,F,A1,A1,C,C,C,,,
A*01:01:01:31,A1,F,A1,A1,C,C,C,,,
A*01:01:01:32,A1,F,A1,A1,C,C,C,,,
A*01:01:01:33,A1,F,A1,A1,C,C,C,,,
A*01:01:01:34,A1,F,A1,A1,C,C,C,,,
A*01:01:01:35,A1,F,A1,A1,C,C,C,,,
A*01:01:01:36,A1,F,A1,A1,C,C,C,,,
A*01:01:01:37,A1,F,A1,A1,C,C,C,,,
A*01:01:01:38,A1,F,A1,A1,C,C,C,,,
A*01:01:01:39,A1,F,A1,A1,C,C,C,,,
A*01:01:01:40,A1,F,A1,A1,C,C,C,,,
A*01:01:01:41,A1,F,A1,A1,C,C,C,,,
A*01:01:01:42,A1,F,A1,A1,C,C,C,,,
A*01:01:01:43,A1,F,A1,A1,C,C,C,,,
A*01:01:01:44,A1,F,A1,A1,C,C,C,,,
A*01:01:01:45,A1,F,A1,A1,C,C,C,,,
A*01:01:01:46,A1,F,A1,A1,C,C,C,,,
A*01:01:01:47,A1,F,A1,A1,C,C,C,,,
A*01:01:01:48,A1,F,A1,A1,C,C,C,,,
A*01:01:01:49,A1,F,A1,A1,C,C,C,,,
A*01:01:01:50,A1,F,A1,A1,C,C,C,,,
A*01:01:01:51,A1,F,A1,A1,C,C,C,,,
A*01:01:01:52,A1,F,A1,A1,C,C,C,,,
A*01:01:01:53,A1,F,A1,A1,C,C,C,,,
A*01:01:01:54,A1,F,A1,A1,C,C,C,,,
A*01:01:01:55,A1,F,A1,A1,C,C,C,,,
A*01:01:01:56,A1,F,A1,A1,C,C,C,,,
A*01:01:01:57,A1,F,A1,A1,C,C,C,,,
A*01:01:01:58,A1,F,A1,A1,C,C,C,,,
A*01:01:01:59,A1,F,A1,A1,C,C,C,,,
A*01:01:01:60,A1,F,A1,A1,C,C,C,,,
A*01:01:01:61,A1,F,A1,A1,C,C,C,,,
A*01:01:01:62,A1,F,A1,A1,C,C,C,,,
A*01:01:01:63,A1,F,A1,A1,C,C,C,,,
A*01:01:01:64,A1,F,A1,A1,C,C,C,,,
A*01:01:01:65,A1,F,A1,A1,C,C,C,,,
A*01:01:01:66,A1,F,A1,A1,C,C,C,,,
A*01:01:01:67,A1,F,A1,A1,C,C,C,,,
A*01:01:01:68,A1,F,A1,A1,C,C,C,,,
A*01:01:01:69,A1,F,A1,A1,C,C,C,,,
A*01:01:01:70,A1,F,A1,A1,C,C,C,,,
A*01:01:01:71,A1,F,A1,A1,C,C,C,,,
A*01:01:01:72,A1,F,A1,A1,C,C,C,,,
A*01:01:01:73,A1,F,A1,A1,C,C,C,,,
A*01:01:01:74,A1,F,A1,A1,C,C,C,,,
A*01:01:01:75,A1,F,A1,A1,C,C,C,,,
A*01:01:01:76,A1,F,A1,A1,C,C,C,,,
A*01:01:01:77,A1,F,A1,A1,C,C,C,,,
A*01:01:01:78,A1,F,A1,A1,C,C,C,,,
A*01:01:01:79,A1,F,A1,A1,C,C,C,,,
A*01:01:01:80,A1,F,A1,A1,C,C,C,,,
A*01:01:01:81,A1,F,A1,A1,C,C,C,,,
A*01:01:01:82,A1,F,A1,A1,C,C,C,,,
A*01:01:01:83,A1,F,A1,A1,C,C,C,,,
A*01:01:01:84,A1,F,A1,A1,C,C,C,,,
A*01:01:01:85,A1,F,A1,A1,C,C,C,,,
A*01:01:01:86,A1,F,A1,A1,C,C,C,,,
A*01:01:01:87,A1,F,A1,A1,C,C,C,,,
A*01:01:01:88,A1,F,A1,A1,C,C,C,,,
A*01:01:01:89,A1,F,A1,A1,C,C,C,,,
A*01:01:01:90,A1,F,A1,A1,C,C,C,,,
A*01:01:01:91,A1,F,A1,A1,C,C,C,,,
A*01:01:01:92,A1,F,A1,A1,C,C,C,,,
A*01:01:01:93,A1,F,A1,A1,C,C,C,,,
A*01:01:01:94,A1,F,A1,A1,C,C,C,,,
A*01:01:01:95,A1,F,A1,A1,C,C,C,,,
A*01:01:01:96,A1,F,A1,A1,C,C,C,,,
A*01:01:01:97,A1,F,A1,A1,C,C,C,,,
A*01:01:01:98,A1,F,A1,A1,C,C,C,,,
A*01:01:01:99,A1,F,A1,A1,C,C,C,,,
A*01:01:01:100,A1,F,A1,A1,C,C,C,,,
A*01:01:01:101,A1,F,A1,A1,C,C,C,,,
A*01:01:01:102,A1,F,A1,A1,C,C,C,,,
A*01:01:01:103,A1,F,A1,A1,C,C,C,,,
A*01:01:01:104,A1,F,A1,A1,C,C,C,,,
A*01:01:01:105,A1,F,A1,A1,C,C,C,,,
A*01:01:01:106,A1,F,A1,A1,C,C,C,,,
A*01:01:01:107,A1,F,A1,A1,C,C,C,,,
A*01:01:01:108,A1,F,A1,A1,C,C,C,,,
A*01:01:01:109,A1,F,A1,A1,C,C,C,,,
A*01:01:01:110,A1,F,A1,A1,C,C,C,,,
A*01:01:01:111,A1,F,A1,A1,C,C,C,,,
A*01:01:01:112,A1,F,A1,A1,C,C,C,,,
A*01:01:01:113,A1,F,A1,A1,C,C,C,,,
A*01:01:01:114,A1,F,A1,A1,C,C,C,,,
A*01:01:01:115,A1,F,A1,A1,C,C,C,,,
A*01:01:01:116,A1,F,A1,A1,C,C,C,,,
A*01:01:01:117,A1,F,A1,A1,C,C,C,,,
A*01:01:01:118,A1,F,A1,A1,C,C,C,,,
A*01:01:01:119,A1,F,A1,A1,C,C,C,,,
A*01:01:01:120,A1,F,A1,A1,C,C,C,,,
A*01:01:01:121,A1,F,A1,A1,C,C,C,,,
A*01:01:01:122,A1,F,A1,A1,C,C,C,,,
A*01:01:01:123,A1,F,A1,A1,C,C,C,,,
A*01:01:01:124,A1,F,A1,A1,C,C,C,,,
A*01:01:02,A1,F,A1,A1,C,C,C,,,
A*01:01:03,A1,F,A1,A1,C,C,C,,,
A*01:01:04,A1,F,A1,A1,C,C,C,,,
A*01:01:05,A1,F,A1,A1,C,C,C,,,
A*01:01:06,A1,F,A1,A1,C,C,C,,,
A*01:01:07,A1,F,A1,A1,C,C,C,,,
A*01:01:08,A1,F,A1,A1,C,C,C,,,
A*01:01:09,A1,F,A1,A1,C,C,C,,,
A*01:01:10,A1,F,A1,A1,C,C,C,,,
A*01:01:11,A1,F,A1,A1,C,C,C,,,
A*01:01:12,A1,F,A1,A1,C,C,C,,,
A*01:01:13,A1,F,A1,A1,C,C,C,,,
A*01:01:14,A1,F,A1,A1,C,C,C,,,
A*01:01:15,A1,F,A1,A1,C,C,C,,,
A*01:01:16,A1,F,A1,A1,C,C,C,,,
A*01:01:17,A1,F,A1,A1,C,C,C,,,
A*01:01:18,A1,F,A1,A1,C,C,C,,,
A*01:01:19,A1,F,A1,A1,C,C,C,,,
A*01:01:20,A1,F,A1,A1,C,C,C,,,
A*01:01:21,A1,F,A1,A1,C,C,C,,,
A*01:01:22,A1,F,A1,A1,C,C,C,,,
A*01:01:23,A1,F,A1,A1,C,C,C,,,
A*01:01:24,A1,F,A1,A1,C,C,C,,,
A*01:01:25,A1,F,A1,A1,C,C,C,,,
A*01:01:26,A1,F,A1,A1,C,C,C,,,
A*01:01:27,A1,F,A1,A1,C,C,C,,,
A*01:01:28,A1,F,A1,A1,C,C,C,,,
A*01:01:29,A1,F,A1,A1,C,C,C,,,
A*01:01:30,A1,F,A1,A1,C,C,C,,,
A*01:01:31,A1,F,A1,A1,C,C,C,,,
A*01:01:32,A1,F,A1,A1,C,C,C,,,
A*01:01:33,A1,F,A1,A1,C,C,C,,,
A*01:01:34,A1,F,A1,A1,C,C,C,,,
A*01:01:35,A1,F,A1,A1,C,C,C,,,
A*01:01:36,A1,F,A1,A1,C,C,C,,,
A*01:01:37,A1,F,A1,A1,C,C,C,,,
A*01:01:38L,A1,F,A1,A1,C,C,C,,,
A*01:01:39,A1,F,A1,A1,C,C,C,,,
A*01:01:40,A1,F,A1,A1,C,C,C,,,
A*01:01:41,A1,F,A1,A1,C,C,C,,,
A*01:01:42,A1,F,A1,A1,C,C,C,,,
A*01:01:43,A1,F,A1,A1,C,C,C,,,
A*01:01:44,A1,F,A1,A1,C,C,C,,,
A*01:01:45,A1,F,A1,A1,C,C,C,,,
A*01:01:46,A1,F,A1,A1,C,C,C,,,
A*01:01:47,A1,F,A1,A1,C,C,C,,,
A*01:01:48,A1,F,A1,A1,C,C,C,,,
A*01:01:49,A1,F,A1,A1,C,C,C,,,
A*01:01:50,A1,F,A1,A1,C,C,C,,,
A*01:01:51,A1,F,A1,A1,C,C,C,,,
A*01:01:52,A1,F,A1,A1,C,C,C,,,
A*01:01:53,A1,F,A1,A1,C,C,C,,,
A*01:01:54,A1,F,A1,A1,C,C,C,,,
A*01:01:55,A1,F,A1,A1,C,C,C,,,
A*01:01:56,A1,F,A1,A1,C,C,C,,,
A*01:01:57,A1,F,A1,A1,C,C,C,,,
A*01:01:58,A1,F,A1,A1,C,C,C,,,
A*01:01:59,A1,F,A1,A1,C,C,C,,,
A*01:01:60,A1,F,A1,A1,C,C,C,,,
A*01:01:61,A1,F,A1,A1,C,C,C,,,
A*01:01:62,A1,F,A1,A1,C,C,C,,,
A*01:01:63,A1,F,A1,A1,C,C,C,,,
A*01:01:64,A1,F,A1,A1,C,C,C,,,
A*01:01:65,A1,F,A1,A1,C,C,C,,,
A*01:01:66,A1,F,A1,A1,C,C,C,,,
A*01:01:67,A1,F,A1,A1,C,C,C,,,
A*01:01:68,A1,F,A1,A1,C,C,C,,,
A*01:01:69,A1,F,A1,A1,C,C,C,,,
A*01:01:70,A1,F,A1,A1,C,C,C,,,
A*01:01:71,A1,F,A1,A1,C,C,C,,,
A*01:01:72,A1,F,A1,A1,C,C,C,,,
A*01:01:73,A1,F,A1,A1,C,C,C,,,
A*01:01:74,A1,F,A1,A1,C,C,C,,,
A*01:01:75,A1,F,A1,A1,C,C,C,,,
A*01:01:76,A1,F,A1,A1,C,C,C,,,
A*01:01:77,A1,F,A1,A1,C,C,C,,,
A*01:01:78,A1,F,A1,A1,C,C,C,,,
A*01:01:79,A1,F,A1,A1,C,C,C,,,
A*01:01:80,A1,F,A1,A1,C,C,C,,,
A*01:01:81,A1,F,A1,A1,C,C,C,,,
A*01:01:82,A1,F,A1,A1,C,C,C,,,
A*01:01:83,A1,F,A1,A1,C,C,C,,,
A*01:01:84,A1,F,A1,A1,C,C,C,,,
A*01:01:85,A1,F,A1,A1,C,C,C,,,
A*01:01:86,A1,F,A1,A1,C,C,C,,,
A*01:01:87,A1,F,A1,A1,C,C,C,,,
A*01:01:88,A1,F,A1,A1,C,C,C,,,
A*01:01:89,A1,F,A1,A1,C,C,C,,,
A*01:01:90,A1,F,A1,A1,C,C,C,,,
A*01:01:91,A1,F,A1,A1,C,C,C,,,
A*01:01:92,A1,F,A1,A1,C,C,C,,,
A*01:01:93,A1,F,A1,A1,C,C,C,,,
A*01:01:94,A1,F,A1,A1,C,C,C,,,
A*01:01:95,A1,F,A1,A1,C,C,C,,,
A*01:01:96,A1,F,A1,A1,C,C,C,,,
A*01:01:97,A1,F,A1,A1,C,C,C,,,
A*01:01:98,A1,F,A1,A1,C,C,C,,,
A*01:01:99,A1,F,A1,A1,C,C,C,,,
A*01:01:100,A1,F,A1,A1,C,C,C,,,
A*01:01:101,A1,F,A1,A1,C,C,C,,,
A*01:01:102,A1,F,A1,A1,C,C,C,,,
