Allele,Qualifier,Associated,Split,Broad,CIWD3.0,CWD2.0,EURCWD
DPB1*01:01:01:01,F,,,DPB01,C,C,C
DPB1*01:01:01:02,F,,,DPB01,C,C,C
DPB1*01:01:01:03,F,,,DPB01,C,C,C
DPB1*01:01:01:04,F,,,DPB01,C,C,C
DPB1*01:01:01:05,F,,,DPB01,C,C,C
DPB1*01:01:01:06,F,,,DPB01,C,C,C
DPB1*01:01:01:07,F,,,DPB01,C,C,C
DPB1*01:01:01:08,F,,,DPB01,C,C,C
DPB1*01:01:01:09,F,,,DPB01,C,C,C
DPB1*01:01:01:10,F,,,DPB01,C,C,C
DPB1*01:01:01:11,F,,,DPB01,C,C,C
DPB1*01:01:01:12,F,,,DPB01,C,C,C
DPB1*01:01:01:13,F,,,DPB01,C,C,C
DPB1*01:01:01:14,F,,,DPB01,C,C,C
DPB1*01:01:01:15,F,,,DPB01,C,C,C
DPB1*01:01:01:16,F,,,DPB01,C,C,C
DPB1*01:01:01:17,F,,,DPB01,C,C,C
DPB1*01:01:01:18,F,,,DPB01,C,C,C
DPB1*01:01:01:19,F,,,DPB01,C,C,C
DPB1*01:01:01:20,F,,,DPB01,C,C,C
DPB1*01:01:01:21,F,,,DPB01,C,C,C
DPB1*01:01:01:22,F,,,DPB01,C,C,C
DPB1*01:01:01:23,F,,,DPB01,C,C,C
DPB1*01:01:01:24,F,,,DPB01,C,C,C
DPB1*01:01:01:25,F,,,DPB01,C,C,C
DPB1*01:01:01:26,F,,,DPB01,C,C,C
DPB1*01:01:01:27,F,,,DPB01,C,C,C
DPB1*01:01:01:28,F,,,DPB01,C,C,C
DPB1*01:01:01:29,F,,,DPB01,C,C,C
DPB1*01:01:01:30,F,,,DPB01,C,C,C
DPB1*01:01:01:31,F,,,DPB01,C,C,C
DPB1*01:01:01:32,F,,,DPB01,C,C,C
DPB1*01:01:02:01,F,,,DPB01,C,C,C
DPB1*01:01:02:02,F,,,DPB01,C,C,C
DPB1*01:01:02:03,F,,,DPB01,C,C,C
DPB1*01:01:03,F,,,DPB01,C,C,C
DPB1*01:01:04,S,,,DPB01,C,C,C
DPB1*01:01:05,S,,,DPB01,C,C,C
DPB1*01:01:06,S,,,DPB01,C,C,C
DPB1*01:01:07,F,,,DPB01,C,C,C
DPB1*01:01:08,F,,,DPB01,C,C,C
DPB1*01:01:09,F,,,DPB01,C,C,C
DPB1*01:01:10,F,,,DPB01,C,C,C
DPB1*01:01:11,F,,,DPB01,C,C,C
DPB1*01:01:12,F,,,DPB01,C,C,C
DPB1*01:01:13,F,,,DPB01,C,C,C
DPB1*01:01:14,F,,,DPB01,C,C,C
DPB1*01:01:15,F,,,DPB01,C,C,C
DPB1*01:01:16,F,,,DPB01,C,C,C
DPB1*01:01:17,F,,,DPB01,C,C,C
DPB1*01:01:18,F,,,DPB01,C,C,C
DPB1*01:01:19,F,,,DPB01,C,C,C
DPB1*01:01:20,F,,,DPB01,C,C,C
DPB1*02:01:02:01,F,,,DPB0201,C,C,C
DPB1*02:01:02:02,F,,,DPB0201,C,C,C
DPB1*02:01:02:03,F,,,DPB0201,C,C,C
DPB1*02:01:02:04,F,,,DPB0201,C,C,C
DPB1*02:01:02:05,F,,,DPB0201,C,C,C
DPB1*02:01:02:06,F,,,DPB0201,C,C,C
DPB1*02:01:02:07,F,,,DPB0201,C,C,C
DPB1*02:01:02:08,F,,,DPB0201,C,C,C
DPB1*02:01:02:09,F,,,DPB0201,C,C,C
DPB1*02:01:02:10,F,,,DPB0201,C,C,C
DPB1*02:01:02:11,F,,,DPB0201,C,C,C
DPB1*02:01:02:12,F,,,DPB0201,C,C,C
DPB1*02:01:02:13,F,,,DPB0201,C,C,C
DPB1*02:01:02:14,F,,,DPB0201,C,C,C
DPB1*02:01:02:15,F,,,DPB0201,C,C,C
DPB1*02:01:02:16,F,,,DPB0201,C,C,C
DPB1*02:01:02:17,F,,,DPB0201,C,C,C
DPB1*02:01:02:18,F,,,DPB0201,C,C,C
DPB1*02:01:02:19,F,,,DPB0201,C,C,C
DPB1*02:01:02:20,F,,,DPB0201,C,C,C
DPB1*02:01:02:21,F,,,DPB0201,C,C,C
DPB1*02:01:02:22,F,,,DPB0201,C,C,C
DPB1*02:01:02:23,F,,,DPB0201,C,C,C
DPB1*02:01:02:24,F,,,DPB0201,C,C,C
DPB1*02:01:02:25,F,,,DPB0201,C,C,C
DPB1*02:01:02:26,F,,,DPB0201,C,C,C
DPB1*02:01:02:27,F,,,DPB0201,C,C,C
DPB1*02:01:02:28,F,,,DPB0201,C,C,C
DPB1*02:01:02:29,F,,,DPB0201,C,C,C
DPB1*02:01:02:30,F,,,DPB0201,C,C,C
DPB1*02:01:02:31,F,,,DPB0201,C,C,C
DPB1*02:01:02:32,F,,,DPB0201,C,C,C
DPB1*02:01:02:33,F,,,DPB0201,C,C,C
DPB1*02:01:02:34,F,,,DPB0201,C,C,C
DPB1*02:01:02:35,F,,,DPB0201,C,C,C
DPB1*02:01:02:36,F,,,DPB0201,C,C,C
DPB1*02:01:02:37,F,,,DPB0201,C,C,C
DPB1*02:01:02:38,F,,,DPB0201,C,C,C
DPB1*02:01:02:39,F,,,DPB0201,C,C,C
DPB1*02:01:02:40,F,,,DPB0201,C,C,C
DPB1*02:01:02:41,F,,,DPB0201,C,C,C
DPB1*02:01:02:42,F,,,DPB0201,C,C,C
DPB1*02:01:02:43,F,,,DPB0201,C,C,C
DPB1*02:01:02:44,F,,,DPB0201,C,C,C
DPB1*02:01:02:45,F,,,DPB0201,C,C,C
DPB1*02:01:02:46Q,Questionable
DPB1*02:01:02:47,F,,,DPB0201,C,C,C
DPB1*02:01:02:48,F,,,DPB0201,C,C,C
DPB1*02:01:02:49,F,,,DPB0201,C,C,C
DPB1*02:01:02:50,F,,,DPB0201,C,C,C
DPB1*02:01:02:51,F,,,DPB0201,C,C,C
DPB1*02:01:02:52,F,,,DPB0201,C,C,C
DPB1*02:01:02:53,F,,,DPB0201,C,C,C
DPB1*02:01:02:54,F,,,DPB0201,C,C,C
DPB1*02:01:02:55,F,,,DPB0201,C,C,C
DPB1*02:01:02:56,F,,,DPB0201,C,C,C
DPB1*02:01:02:57,F,,,DPB0201,C,C,C
DPB1*02:01:02:58,F,,,DPB0201,C,C,C
DPB1*02:01:02:59,F,,,DPB0201,C,C,C
DPB1*02:01:02:60,F,,,DPB0201,C,C,C
DPB1*02:01:02:61,F,,,DPB0201,C,C,C
DPB1*02:01:02:62,F,,,DPB0201,C,C,C
DPB1*02:01:02:63,F,,,DPB0201,C,C,C
DPB1*02:01:02:64,F,,,DPB0201,C,C,C
DPB1*02:01:02:65,F,,,DPB0201,C,C,C
DPB1*02:01:02:66,F,,,DPB0201,C,C,C
DPB1*02:01:02:67,F,,,DPB0201,C,C,C
DPB1*02:01:02:68,F,,,DPB0201,C,C,C
DPB1*02:01:02:69,F,,,DPB0201,C,C,C
DPB1*02:01:02:70,F,,,DPB0201,C,C,C
DPB1*02:01:02:71,F,,,DPB0201,C,C,C
DPB1*02:01:02:72,F,,,DPB0201,C,C,C
DPB1*02:01:02:73,F,,,DPB0201,C,C,C
DPB1*02:01:02:74,F,,,DPB0201,C,C,C
DPB1*02:01:02:75,F,,,DPB0201,C,C,C
DPB1*02:01:02:76,F,,,DPB0201,C,C,C
DPB1*02:01:02:77,F,,,DPB0201,C,C,C
DPB1*02:01:02:78,F,,,DPB0201,C,C,C
DPB1*02:01:02:79,F,,,DPB0201,C,C,C
DPB1*02:01:02:80,F,,,DPB0201,C,C,C
DPB1*02:01:02:81,F,,,DPB0201,C,C,C
DPB1*02:01:02:82,F,,,DPB0201,C,C,C
DPB1*02:01:02:83,F,,,DPB0201,C,C,C
DPB1*02:01:02:84,F,,,DPB0201,C,C,C
DPB1*02:01:02:85,F,,,DPB0201,C,C,C
DPB1*02:01:02:86,F,,,DPB0201,C,C,C
DPB1*02:01:02:87,F,,,DPB0201,C,C,C
DPB1*02:01:02:88,F,,,DPB0201,C,C,C
DPB1*02:01:02:89,F,,,DPB0201,C,C,C
DPB1*02:01:02:90,F,,,DPB0201,C,C,C
DPB1*02:01:02:91,F,,,DPB0201,C,C,C
DPB1*02:01:02:92,F,,,DPB0201,C,C,C
DPB1*02:01:02:93,F,,,DPB0201,C,C,C
DPB1*02:01:02:94,F,,,DPB0201,C,C,C
DPB1*02:01:02:95,F,,,DPB0201,C,C,C
DPB1*02:01:02:96,F,,,DPB0201,C,C,C
DPB1*02:01:02:97,F,,,DPB0201,C,C,C
DPB1*02:01:02:98,F,,,DPB0201,C,C,C
DPB1*02:01:02:99,F,,,DPB0201,C,C,C
DPB1*02:01:02:100,F,,,DPB0201,C,C,C
DPB1*02:01:02:101,F,,,DPB0201,C,C,C
DPB1*02:01:02:102,F,,,DPB0201,C,C,C
DPB1*02:01:02:103,F,,,DPB0201,C,C,C
DPB1*02:01:02:104,F,,,DPB0201,C,C,C
DPB1*02:01:02:105,F,,,DPB0201,C,C,C
DPB1*02:01:02:106,F,,,DPB0201,C,C,C
