B Antigen,Bw4/Bw6 Inclusion
B0702,Bw6
B0703,Bw6
B0710,Bw6
B0712,Bw6
B0713,Negative
B0715,Negative
B0736,Bw4
B0801,Bw6
B0802,Bw4
B13,Bw4
B64,Bw6
B65,Bw6
B1501,Bw6
B1502,Bw6
B1503,Bw6
B1510,Bw6
B1511,Bw6
B76,Bw6
B77,Bw4
B1516,Bw4
B1517,Bw4
B1520,Bw6
B1523,Bw4
B1524,Bw4
B1529,Bw6
B1537,Bw6
B1538,Bw6
B1540,Bw6
B1542,Bw6
B1547,Bw6
B1548,Bw6
B1552,Bw6
B1801,Bw6
B1805,Bw6
B1806,Negative
B1809,Bw4
B2705,Bw4
B2708,Bw6
B2712,Bw6
B2714,Bw4
B3501,Bw6
B3502,Bw6
B3510,Bw6
B3512,Bw6
B3515,Bw6
B3516,Bw6
B3519,Bw6
B3520,Bw6
B3521,Bw6
B3528,Bw6
B3531,Bw6
B3701,Bw4
B3702,Bw4
B3704,Bw4
B3705,Bw6
B3801,Bw4
B3803,Bw4
B3806,Bw4
B3901,Bw6
B3902,Bw6
B3910,Bw6
B4001,Bw6
B4002,Bw6
B4004,Bw6
B4005,Bw6
B4008,Bw6
B4013,Bw4
B4016,Bw6
B4021,Bw6
B4023,Bw6
B4047,Bw4
B41,Bw6
B42,Bw6
B4402,Bw4
B4404,Bw4
B4406,Bw4
B4408,Bw4
B4410,Bw4
B4429,Bw4
B45,Bw6
B46,Negative
B4701,Bw4
B4801,Bw6
B4802,Bw6
B4804,Bw6
B4805,Bw6
B49,Bw4
B50,Bw6
B5101,Bw4
B5102,Bw4
B5103,Bw4
B5107,Bw4
B5119,Bw4
B52,Bw4
B53,Bw4
B54,Bw6
B5501,Bw6
B5504,Bw6
B5601,Bw6
B5603,Bw6
B57,Bw4
B58,Bw4
B59,Bw4
B6701,Bw6
B6702,Negative
B73,Negative
B7801,Bw6
B81,Bw6
B82,Bw6

A Antigen,Bw4 Associated Reactivity
A2301,Bw4
A2304,Bw4
A2402,Bw4
A2403,Bw4
A2405,Bw4
A2408,Bw4
A2410,Bw4
A2414,Bw4
A2423,Bw4
A2424,Bw4
A25,Bw4
A3201,Bw4
A3204,Bw4
A6836,Bw4

Cw Antigen,Potential Bw6 Associated Reactivity
Cw1212,Bw6
