Number of Antigens exluding UNA,62
Number of residues used for FULL,30

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
A0201,1363,101,51,0
A0202,127,13,9,0
A0203,73,6,7,0
A0208,2,0,0,0
A0210,28,5,3,0
A0211,47,5,4,0
A0216,11,1,0,0
A0218,2,0,0,0
A0219,3,2,4,0
A0220,8,1,2,0
A0244,11,1,12,0
A0246,1,1,1,0
A0256,6,2,0,0
A0265,2,2,0,0
A0285,1,0,0,0
A0301,665,83,24,0
A0305,5,10,9,0
A0323,2,5,0,0
A1,678,54,35,0
A11,624,80,32,0
A2301,190,20,16,0
A2304,1,3,1,0
A2402,811,64,33,0
A2403,26,13,3,0
A2404,1,8,0,0
A2405,7,0,0,0
A2408,4,1,6,0
A2410,10,1,0,0
A2414,6,0,0,0
A2423,1,0,0,0
A2424,2,0,2,0
A25,103,22,9,0
A2601,338,34,14,0
A2603,9,4,2,0
A2607,2,0,3,0
A2614,3,4,1,0
A2901,71,10,2,0
A2902,196,22,11,0
A3001,181,31,9,0
A3002,111,29,3,0
A3007,1,0,1,0
A3101,305,29,10,0
A3102,4,0,1,0
A3201,251,34,26,0
A3204,2,0,0,0
A3301,91,7,5,0
A3303,262,27,20,0
A3308,1,1,2,0
A3313,1,3,1,0
A3401,18,1,2,0
A3402,26,8,6,0
A36,18,9,0,0
A43,2,0,0,0
A6601,46,6,5,0
A6602,11,2,2,0
A6801,437,65,20,0
A6810,2,0,4,0
A6813,2,0,0,0
A6836,1,0,0,0
A69,14,13,0,0
A74,56,7,10,0
A80,8,3,0,0
UNA,11,0,0,0

AssignedTotal,7302,853,423,0
CommonTotal,3150,15,0,0
IntermediateTotal,98,28,11,0
WellDocumentedTotal,357,109,57,0
RareTotal,3697,701,355,0

TOTAL EXPRESSED ALLELES,8578
Null alleles,490
Q alleles,107
TOTAL ALLELES,9175
