Number of Antigens exluding UNA,109
Number of residues used for FULL,26

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
B0702,671,50,54,0
B0703,8,3,5,0
B0710,5,0,0,0
B0712,11,0,1,0
B0713,1,0,0,0
B0715,5,0,0,0
B0736,2,3,0,0
B0801,411,43,41,0
B0802,4,3,4,0
B13,280,16,23,0
B1501,518,16,33,0
B1502,97,2,8,0
B1503,77,5,12,0
B1510,112,5,13,0
B1511,27,1,3,0
B1516,22,3,1,0
B1517,45,3,5,0
B1520,9,1,5,0
B1523,1,6,4,0
B1524,6,4,5,0
B1529,5,0,3,0
B1537,4,1,0,0
B1538,5,0,2,0
B1540,5,1,0,0
B1542,3,0,0,0
B1547,4,0,1,0
B1548,5,0,2,0
B1552,3,2,1,0
B1801,371,34,13,0
B1805,3,0,0,0
B1806,2,0,0,0
B1809,2,11,2,0
B2705,323,77,29,0
B2708,7,1,3,0
B2712,6,0,0,0
B2714,4,1,1,0
B3501,743,37,41,0
B3502,87,3,7,0
B3510,8,0,1,0
B3512,69,4,8,0
B3515,5,1,0,0
B3516,1,0,1,0
B3519,5,0,1,0
B3520,11,1,0,0
B3521,6,1,0,0
B3528,5,1,0,0
B3531,3,1,6,0
B3701,145,12,15,0
B3702,1,5,5,0
B3704,3,4,0,0
B3705,3,0,4,0
B3801,116,69,11,0
B3803,2,1,0,0
B3806,2,2,0,0
B3901,268,19,23,0
B3902,23,1,1,0
B3910,22,2,3,0
B4001,398,19,40,0
B4002,367,28,21,0
B4004,16,3,0,0
B4005,8,17,3,0
B4008,3,0,2,0
B4013,1,0,0,0
B4016,13,1,0,0
B4021,2,0,0,0
B4023,8,0,0,0
B4047,2,3,1,0
B41,116,12,7,0
B42,49,4,6,0
B4402,816,39,35,0
B4404,5,0,5,0
B4406,6,0,2,0
B4408,4,0,0,0
B4410,10,4,0,0
B4429,3,0,0,0
B45,63,17,1,0
B46,125,14,17,0
B4701,28,12,1,0
B4801,70,12,6,0
B4802,4,5,1,0
B4804,6,0,1,0
B4805,5,1,2,0
B49,123,14,10,0
B50,99,8,8,0
B5101,610,28,19,0
B5102,26,2,12,0
B5103,2,0,0,0
B5107,7,0,0,0
B5119,3,0,0,0
B52,208,10,16,0
B53,105,18,9,0
B54,57,5,8,0
B5501,188,9,18,0
B5504,9,6,2,0
B5601,105,7,10,0
B5603,17,7,2,0
B57,282,24,9,0
B58,207,24,12,0
B59,7,2,6,0
B64,67,3,3,0
B65,140,10,11,0
B6701,7,2,0,0
B6702,2,0,0,0
B73,7,0,0,0
B76,12,1,2,0
B77,4,3,0,0
B7801,8,8,3,0
B81,25,6,1,0
B82,9,3,0,0
UNA,11,0,0,0

AssignedTotal,9067,847,713,0
CommonTotal,3898,49,0,0
IntermediateTotal,133,20,23,0
WellDocumentedTotal,466,87,90,0
RareTotal,4570,691,600,0

TOTAL EXPRESSED ALLELES,10627
Null alleles,398
Q alleles,78
TOTAL ALLELES,11103
