Number of Antigens exluding UNA,36
Number of residues used for FULL,22

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
Cw0304,651,38,50,0
Cw0307,6,4,2,0
Cw0308,2,1,2,0
Cw0401,799,47,28,0
Cw0403,46,15,9,0
Cw0408,3,1,0,0
Cw0410,3,0,2,0
Cw0427,1,0,0,0
Cw0501,413,37,13,0
Cw0509,7,0,0,0
Cw0602,572,23,30,0
Cw0608,1,0,0,0
Cw0627,1,0,0,0
Cw0701,793,49,38,0
Cw0702,848,69,26,0
Cw0704,114,15,14,0
Cw0707,1,0,3,0
Cw0717,12,7,4,0
Cw0801,184,13,5,0
Cw0802,221,22,16,0
Cw0803,20,6,1,0
Cw0806,1,0,0,0
Cw0810,15,6,1,0
Cw1,407,21,25,0
Cw1202,622,56,34,0
Cw1204,13,3,2,0
Cw1212,2,2,3,0
Cw14,221,31,6,0
Cw1502,423,39,22,0
Cw1507,3,5,0,0
Cw1601,254,44,18,0
Cw1602,84,10,5,0
Cw17,138,10,7,0
Cw18,36,4,0,0
Cw2,408,22,16,0
Cw9,354,14,28,0
UNA,10,0,0,0

AssignedTotal,7689,614,410,0
CommonTotal,3422,7,0,0
IntermediateTotal,98,21,19,0
WellDocumentedTotal,339,93,75,0
RareTotal,3830,493,316,0

TOTAL EXPRESSED ALLELES,8713
Null alleles,435
Q alleles,143
TOTAL ALLELES,9291
