Number of Antigens exluding UNA,36
Number of residues used for FULL,22

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
Cw0304,345,33,44,0
Cw0307,1,4,2,0
Cw0308,2,1,2,0
Cw0401,396,42,25,0
Cw0403,26,12,8,0
Cw0408,3,1,0,0
Cw0410,3,0,2,0
Cw0427,1,0,0,0
Cw0501,218,34,13,0
Cw0509,5,0,0,0
Cw0602,314,18,29,0
Cw0608,1,0,0,0
Cw0627,1,0,0,0
Cw0701,427,38,33,0
Cw0702,441,57,24,0
Cw0704,63,14,14,0
Cw0707,1,0,3,0
Cw0717,6,7,4,0
Cw0801,109,13,5,0
Cw0802,122,19,15,0
Cw0803,11,5,1,0
Cw0806,1,0,0,0
Cw0810,7,6,1,0
Cw1,210,18,25,0
Cw1202,345,49,33,0
Cw1204,8,2,2,0
Cw1212,2,2,3,0
Cw14,131,28,6,0
Cw1502,216,36,22,0
Cw1507,2,4,0,0
Cw1601,149,36,17,0
Cw1602,51,10,5,0
Cw17,68,10,7,0
Cw18,25,4,0,0
Cw2,203,20,14,0
Cw9,200,12,26,0
UNA,10,0,0,0

AssignedTotal,4124,535,385,0
CommonTotal,74,5,0,0
IntermediateTotal,73,15,15,0
WellDocumentedTotal,284,69,63,0
RareTotal,3693,446,307,0

TOTAL EXPRESSED ALLELES,5044
Null alleles,435
Q alleles,143
TOTAL ALLELES,5622
