Number of Antigens exluding UNA,17
Number of residues used for FULL,7

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,348,0,78,0
DPB0201,350,0,84,0
DPB0202,47,0,15,0
DPB03,282,0,65,0
DPB0401,617,0,120,0
DPB0402,258,0,48,0
DPB06,84,0,26,0
DPB10,50,0,22,0
DPB13,125,0,29,0
DPB15,58,0,2,0
DPB17,49,0,0,0
DPB18,31,0,2,0
DPB30,31,0,0,0
DPB31,18,0,6,0
DPB45,14,0,8,0
DPB46,5,0,6,0
DPB80,8,0,9,0
UNA,19,0,0,0

AssignedTotal,2394,0,520,0
CommonTotal,1096,0,58,0
IntermediateTotal,54,0,11,0
WellDocumentedTotal,125,0,54,0
RareTotal,1119,0,397,0

TOTAL EXPRESSED ALLELES,2914
Null alleles,171
Q alleles,19
TOTAL ALLELES,3104
