Number of Antigens exluding UNA,17
Number of residues used for FULL,7

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DPB01,199,0,64,0
DPB0201,154,0,68,0
DPB0202,23,0,14,0
DPB03,147,0,53,0
DPB0401,299,0,96,0
DPB0402,146,0,44,0
DPB06,56,0,24,0
DPB10,37,0,18,0
DPB13,77,0,28,0
DPB15,35,0,0,0
DPB17,33,0,0,0
DPB18,21,0,2,0
DPB30,21,0,0,0
DPB31,14,0,6,0
DPB45,13,0,8,0
DPB46,4,0,5,0
DPB80,7,0,9,0
UNA,17,0,0,0

AssignedTotal,1303,0,439,0
CommonTotal,71,0,2,0
IntermediateTotal,43,0,9,0
WellDocumentedTotal,113,0,44,0
RareTotal,1076,0,384,0

TOTAL EXPRESSED ALLELES,1742
Null alleles,171
Q alleles,19
TOTAL ALLELES,1932
