Number of Antigens exluding UNA,46
Number of residues used for FULL,13

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
DR0101,212,14,15,0
DR0103,11,2,0,0
DR0401,321,15,28,0
DR0402,26,2,0,0
DR0403,152,8,5,1
DR0412,5,3,0,0
DR0415,4,8,0,0
DR0801,100,0,12,1
DR0803,65,0,5,0
DR0808,1,0,1,0
DR0818,6,2,1,0
DR10,67,5,1,0
DR1101,361,14,17,0
DR1102,41,1,3,0
DR1103,28,1,2,0
DR1105,1,8,0,0
DR1107,8,8,1,0
DR1108,17,5,0,0
DR1117,3,3,0,0
DR1201,83,2,3,0
DR1202,71,2,5,0
DR1301,317,1,27,0
DR1303,81,0,7,0
DR1305,43,0,17,0
DR1317,7,1,1,0
DR1339,4,0,1,0
DR1343,8,0,0,0
DR1401,129,0,17,0
DR1402,54,0,14,0
DR1403,25,0,6,0
DR1404,38,0,8,0
DR1405,22,0,2,0
DR1410,5,3,1,0
DR1411,2,0,0,0
DR1414,22,0,0,0
DR1422,6,0,2,0
DR1424,7,0,1,0
DR1448,4,0,0,0
DR1501,325,29,6,0
DR1504,8,0,0,0
DR1601,53,4,0,0
DR1602,54,6,3,0
DR17,233,8,24,0
DR18,36,8,9,0
DR7,215,8,11,0
DR9,85,2,7,0
UNA,16,0,0,0

AssignedTotal,3382,173,263,2
CommonTotal,1169,0,0,1
IntermediateTotal,124,14,13,0
WellDocumentedTotal,246,18,40,0
RareTotal,1843,141,210,1

TOTAL EXPRESSED ALLELES,3820
Null alleles,146
Q alleles,12
TOTAL ALLELES,3978
